"year_of_release","year"
2008,671.79
2009,658.88
2007,605.37
2010,590.59
2006,518.22
2011,507.79
2005,458.31
2004,419.05
2002,395.51
2013,361.24
2003,357.80
2012,355.84
2014,331.51
2001,331.47
2015,268.05
1998,256.45
1999,251.25
2000,201.58
1997,200.98
1996,199.15
2016,130.10
NULL,98.96
1995,88.11
1994,79.18
1992,76.17
1989,73.45
1985,53.94
1984,50.36
1990,49.39
1993,48.40
1988,47.22
1986,37.07
1981,35.77
1991,32.23
1982,28.86
1987,21.74
1983,16.79
1980,11.38
2020,0.29
2017,0.06
