"name","critic_score","critic_count"
"Tony Hawk's Pro Skater 2",98,19
"Grand Theft Auto IV",98,64
"Grand Theft Auto IV",98,86
"SoulCalibur",98,24
"NFL 2K1",97,22
"Super Mario Galaxy",97,73
"Tony Hawk's Pro Skater 3",97,34
"Metroid Prime",97,70
"Grand Theft Auto V",97,14
"Grand Theft Auto V",97,58
"Grand Theft Auto V",97,66
"Halo: Combat Evolved",97,68
"Super Mario Galaxy 2",97,87
"Grand Theft Auto V",97,50
"Grand Theft Auto III",97,56
"The Legend of Zelda: Twilight Princess",96,16
"Batman: Arkham City",96,42
"The Orange Box",96,34
"Half-Life 2",96,81
"Grand Theft Auto V",96,57
"The Elder Scrolls V: Skyrim",96,89
"The Legend of Zelda: The Wind Waker",96,80
"Tekken 3",96,15
"BioShock",96,44
"Resident Evil 4",96,82
"BioShock",96,88
"Half-Life",96,24
"Uncharted 2: Among Thieves",96,105
"The Orange Box",96,54
"Resident Evil 4",96,38
"Gran Turismo",96,16
"Metal Gear Solid 2: Sons of Liberty",96,42
"Mass Effect 2",96,98
"The Legend of Zelda: A Link to the Past",95,30
"Red Dead Redemption",95,73
"Portal 2",95,66
"Tony Hawk's Pro Skater 2",95,16
"Halo 2",95,91
"Grand Theft Auto: San Andreas",95,80
"Grand Theft Auto: Vice City",95,62
"Red Dead Redemption",95,96
"Metal Gear Solid V: The Phantom Pain",95,10
"The Last of Us",95,98
"Madden NFL 2003",95,25
"Portal 2",95,52
"The Legend of Zelda: Twilight Princess",95,73
"Gran Turismo 3: A-Spec",95,54
"Portal 2",95,54
"LittleBigPlanet",95,85
"Tony Hawk's Pro Skater 4",94,27
"Chrono Cross",94,16
"Star Wars: Knights of the Old Republic",94,72
"Grand Theft Auto: Vice City",94,30
"Madden NFL 2002",94,23
"Halo 3",94,86
"Devil May Cry",94,37
"Call of Duty: Modern Warfare 2",94,67
"Sid Meier's Civilization IV",94,50
"The Elder Scrolls IV: Oblivion",94,54
"Madden NFL 2004",94,29
"Call of Duty 4: Modern Warfare",94,70
"Mass Effect 2",94,55
"Madden NFL 2004",94,19
"Metal Gear Solid 3: Subsistence",94,53
"Call of Duty 4: Modern Warfare",94,44
"BioShock Infinite",94,68
"Ninja Gaiden Black",94,32
"Gears of War",94,88
"Metal Gear Solid",94,20
"Metal Gear Solid 4: Guns of the Patriots",94,82
"ISS Pro Evolution",94,4
"Tom Clancy's Splinter Cell: Chaos Theory",94,70
"Final Fantasy IX",94,22
"Burnout 3: Takedown",94,76
"BioShock",94,51
"Batman: Arkham City",94,87
"Mass Effect 2",94,62
"Diablo",94,12
"God of War",94,75
"The Elder Scrolls IV: Oblivion",94,90
"NCAA Football 2004",94,15
"Street Fighter IV",94,61
"BioShock Infinite",94,27
"Call of Duty: Modern Warfare 2",94,100
"The Elder Scrolls V: Skyrim",94,32
"Virtua Fighter 4",94,36
"Gears of War 2",93,90
"Super Smash Bros. Brawl",93,81
"Gran Turismo 2",93,23
"World of Warcraft",93,57
"Mario Kart: Super Circuit",93,24
"Uncharted 4: A Thief's End",93,113
"Fallout 3",93,84
"StarCraft II: Wings of Liberty",93,82
"Super Mario 3D World",93,83
"God of War II",93,70
"The Legend of Zelda: Skyward Sword",93,81
"Metal Gear Solid V: The Phantom Pain",93,86
"The Elder Scrolls IV: Oblivion",93,45
"Mass Effect 3",93,74
"Tom Clancy's Splinter Cell",93,46
"World Soccer Winning Eleven 6 International",93,24
"Street Fighter IV",93,77
"World Soccer Winning Eleven 7 International",93,28
"Burnout 3: Takedown",93,52
"Grand Theft Auto: San Andreas",93,58
"BioShock Infinite",93,33
"SSX 3",93,41
"SSX",93,35
"SoulCalibur II",93,45
"Tom Clancy's Splinter Cell: Pandora Tomorrow",93,74
"Mass Effect 3",93,30
"Grand Theft Auto: Chinatown Wars",93,85
"NFL 2K3",93,20
"Castlevania: Symphony of the Night",93,12
"Persona 4: Golden",93,61
"Street Fighter Alpha 3",93,12
"Grand Theft Auto: San Andreas",93,47
"Rock Band 3",93,57
"The Witcher 3: Wild Hunt",93,32
"Virtua Fighter 4: Evolution",93,30
"Okami",93,69
"Tony Hawk's Pro Skater 3",93,22
"Metal Gear Solid: The Legacy Collection",93,4
"WipEout XL",93,8
"Star Wars: Knights of the Old Republic",93,33
"Odin Sphere: Leifthrasir",93,5
"Skies of Arcadia",93,21
"Company of Heroes",93,55
"Homeworld",93,20
