"name","critic_score","critic_count"
"Uncharted 4: A Thief's End",93,113
"Heavy Rain",87,107
"Quantum Break",77,106
"Uncharted 2: Among Thieves",96,105
"XCOM 2",88,104
"Until Dawn",79,103
"Rise of the Tomb Raider",86,102
"Halo 5: Guardians",84,101
"God of War III",92,101
"Call of Duty: Modern Warfare 2",94,100
"Bloodborne",92,100
"Alan Wake",83,100
"Halo: Reach",91,99
"inFAMOUS",85,98
"Beyond: Two Souls",70,98
"Mass Effect 2",96,98
"The Last of Us",95,98
"Uncharted 3: Drake's Deception",92,97
"Gears of War 3",91,96
"Red Dead Redemption",95,96
"Gears of War 4",84,96
"Destiny",76,95
"Fable II",89,95
"No Man's Sky",71,94
"Halo 3: ODST",83,94
"Killzone 2",91,94
"The Order: 1886",63,94
"BioShock 2",88,93
"Halo Wars",82,92
"Halo 2",95,91
"Resistance 3",83,91
"Resident Evil 5",83,91
"Crackdown 2",70,91
"Far Cry: Primal",76,91
