"year_of_release","platform","highest_selling"
1980,"2600",4.31
1981,"2600",4.50
1982,"2600",7.81
1983,"NES",3.20
1984,"NES",28.31
1985,"NES",40.24
1986,"NES",6.51
1987,"NES",4.38
1988,"NES",17.28
1989,"GB",30.26
1990,"SNES",20.61
1991,"SNES",4.61
1992,"GB",11.18
1993,"SNES",10.55
1994,"SNES",9.30
1995,"SNES",5.15
1996,"GB",31.37
1997,"PS",10.95
1998,"GB",14.64
1999,"GB",23.10
2000,"GB",6.39
2001,"PS2",14.98
2002,"PS2",16.15
2003,"PS2",7.20
2004,"PS2",20.81
2005,"DS",24.67
2006,"Wii",82.53
2007,"Wii",22.70
2008,"Wii",35.52
2009,"Wii",32.77
2010,"X360",21.81
2011,"X360",14.73
2012,"PS3",13.79
2013,"PS3",21.04
2014,"PS4",12.61
2015,"PS4",14.63
2016,"PS4",7.59
2017,"PS4",0.04
2020,"DS",0.29
